player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,Inter Milan,Serie A,2009-01-01T00:00:00Z,2011-01-01T00:00:00Z,67
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,Chelsea F.C.,Premier League,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,21
http://www.wikidata.org/entity/Q1255625,Samuel Eto'o,Everton F.C.,Premier League,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,14
http://www.wikidata.org/entity/Q126503,Filippo Inzaghi,Hellas Verona FC,Serie A,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,36
http://www.wikidata.org/entity/Q126503,Filippo Inzaghi,Parma Calcio 1913,Serie A,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,15
http://www.wikidata.org/entity/Q126503,Filippo Inzaghi,Atalanta BC,Serie A,1996-01-01T00:00:00Z,1997-01-01T00:00:00Z,33
http://www.wikidata.org/entity/Q126503,Filippo Inzaghi,Juventus FC,Serie A,1997-01-01T00:00:00Z,2001-01-01T00:00:00Z,120
http://www.wikidata.org/entity/Q126503,Filippo Inzaghi,AC Milan,Serie A,2001-01-01T00:00:00Z,2012-01-01T00:00:00Z,202
http://www.wikidata.org/entity/Q127452,Dani Carvajal,Bayer 04 Leverkusen,Bundesliga,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,32
http://www.wikidata.org/entity/Q127452,Dani Carvajal,Real Madrid Club de Fútbol,La Liga,2013-01-01T00:00:00Z,,293
http://www.wikidata.org/entity/Q127499,Asier Illarramendi,Real Sociedad,La Liga,,2008-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q127499,Asier Illarramendi,Real Sociedad,La Liga,2009-01-01T00:00:00Z,2013-01-01T00:00:00Z,56
http://www.wikidata.org/entity/Q127499,Asier Illarramendi,Real Madrid Club de Fútbol,La Liga,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,90
http://www.wikidata.org/entity/Q127499,Asier Illarramendi,Real Sociedad,La Liga,2015-01-01T00:00:00Z,2023-01-01T00:00:00Z,197
http://www.wikidata.org/entity/Q128829,Michael Owen,Liverpool F.C.,Premier League,1995-01-01T00:00:00Z,2004-01-01T00:00:00Z,216
http://www.wikidata.org/entity/Q128829,Michael Owen,Real Madrid Club de Fútbol,La Liga,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,36
http://www.wikidata.org/entity/Q128829,Michael Owen,Newcastle United F.C.,Premier League,2005-01-01T00:00:00Z,2009-01-01T00:00:00Z,71
http://www.wikidata.org/entity/Q128829,Michael Owen,Manchester United F.C.,Premier League,2009-01-01T00:00:00Z,2012-01-01T00:00:00Z,31
http://www.wikidata.org/entity/Q129013,Max Kruse,SV Werder Bremen,Bundesliga,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q129013,Max Kruse,FC St. Pauli,Bundesliga,2009-01-01T00:00:00Z,2012-01-01T00:00:00Z,96
http://www.wikidata.org/entity/Q129013,Max Kruse,SC Freiburg,Bundesliga,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,34
http://www.wikidata.org/entity/Q129013,Max Kruse,Borussia Mönchengladbach,Bundesliga,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,66
http://www.wikidata.org/entity/Q129013,Max Kruse,VfL Wolfsburg,Bundesliga,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,32
http://www.wikidata.org/entity/Q129013,Max Kruse,SV Werder Bremen,Bundesliga,2016-01-01T00:00:00Z,2019-06-01T00:00:00Z,84
http://www.wikidata.org/entity/Q129013,Max Kruse,1. FC Union Berlin,Bundesliga,2020-08-01T00:00:00Z,2022-01-01T00:00:00Z,38
http://www.wikidata.org/entity/Q129013,Max Kruse,VfL Wolfsburg,Bundesliga,2022-01-01T00:00:00Z,2022-11-28T00:00:00Z,19
