player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Nottingham Forest F.C.,Premier League,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Burnley F.C.,Premier League,2002-01-01T00:00:00Z,2005-01-01T00:00:00Z,120
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Birmingham City F.C.,EFL Championship,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Leeds United F.C.,Premier League,2005-01-01T00:00:00Z,2007-01-01T00:00:00Z,77
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Burnley F.C.,Premier League,2007-01-01T00:00:00Z,2010-01-01T00:00:00Z,122
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Bolton Wanderers F.C.,EFL League One,2010-01-01T00:00:00Z,2012-01-01T00:00:00Z,9
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Doncaster Rovers F.C.,EFL League One,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,7
http://www.wikidata.org/entity/Q1093679,Robbie Blake,Team Northumbria F.C.,Northern Football League,2013-01-01T00:00:00Z,2013-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,Germany national under-16 football team,,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,Germany national under-17 association football team,,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,10
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,VfL Wolfsburg,Bundesliga,2011-01-01T00:00:00Z,,384
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,Germany national under-18 football team,,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,8
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,Germany national under-19 football team,,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,Germany national under-21 football team,,2013-01-01T00:00:00Z,2017-01-01T00:00:00Z,23
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,Germany national under-20 football team,,2013-01-01T00:00:00Z,2013-01-01T00:00:00Z,6
http://www.wikidata.org/entity/Q1093851,Maximilian Arnold,Germany men's national association football team,,2014-01-01T00:00:00Z,2021-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,Deportivo Wanka,Copa Perú,1996-01-01T00:00:00Z,1997-01-01T00:00:00Z,41
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,Club Alianza Lima,Peruvian Primera División,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z,44
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,1999-01-01T00:00:00Z,2020-01-01T00:00:00Z,56
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,Peru men's national football team,,1999-01-01T00:00:00Z,2016-01-01T00:00:00Z,85
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,FC Bayern Munich,Bundesliga,2001-01-01T00:00:00Z,2007-01-01T00:00:00Z,174
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,Chelsea F.C.,Premier League,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z,21
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,26
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2009-01-01T00:00:00Z,2012-01-01T00:00:00Z,77
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,FC Bayern Munich,Bundesliga,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z,50
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z,47
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,1. FC Köln,Bundesliga,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,16
http://www.wikidata.org/entity/Q109397,Claudio Pizarro,SV Werder Bremen,Bundesliga,2018-01-01T00:00:00Z,2020-01-01T00:00:00Z,44
http://www.wikidata.org/entity/Q110053,Mats Hummels,FC Bayern Munich II,Regionalliga Bayern,2005-01-01T00:00:00Z,2008-01-01T00:00:00Z,42
http://www.wikidata.org/entity/Q110053,Mats Hummels,FC Bayern Munich,Bundesliga,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q110053,Mats Hummels,Germany national under-21 football team,,2007-01-01T00:00:00Z,2010-01-01T00:00:00Z,21
http://www.wikidata.org/entity/Q110053,Mats Hummels,Germany national under-20 football team,,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q110053,Mats Hummels,Borussia Dortmund,Bundesliga,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,25
http://www.wikidata.org/entity/Q110053,Mats Hummels,Borussia Dortmund,Bundesliga,2009-01-01T00:00:00Z,2016-01-01T00:00:00Z,199
http://www.wikidata.org/entity/Q110053,Mats Hummels,Germany men's national association football team,,2010-01-01T00:00:00Z,2023-01-01T00:00:00Z,78
http://www.wikidata.org/entity/Q110053,Mats Hummels,FC Bayern Munich,Bundesliga,2016-01-01T00:00:00Z,2019-06-01T00:00:00Z,74
http://www.wikidata.org/entity/Q110053,Mats Hummels,Borussia Dortmund,Bundesliga,2019-07-01T00:00:00Z,2024-06-01T00:00:00Z,142
http://www.wikidata.org/entity/Q110053,Mats Hummels,AS Roma,Serie A,2024-09-01T00:00:00Z,2025-07-01T00:00:00Z,14
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,1. FSV Mainz 05 II,3. Liga,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z,55
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,1. FSV Mainz 05,Bundesliga,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z,63
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,SV Werder Bremen II,3. Liga,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z,13
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,SV Werder Bremen,Bundesliga,2003-01-01T00:00:00Z,2003-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,1. FSV Mainz 05,Bundesliga,2004-01-01T00:00:00Z,2007-01-01T00:00:00Z,116
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,Team 2006,,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,4
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,Germany men's national association football team,,2006-01-01T00:00:00Z,2008-01-01T00:00:00Z,9
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,Bayer 04 Leverkusen,Bundesliga,2007-01-01T00:00:00Z,2013-01-01T00:00:00Z,147
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,Borussia Dortmund,Bundesliga,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q110523,Manuel Friedrich,Mumbai City FC,Indian Super League,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,14
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,CD Pamplona,Tercera División,,1984-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Club Atlético Osasuna,La Liga,1984-01-01T00:00:00Z,1990-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Osasuna B,Primera Federación,1989-01-01T00:00:00Z,1990-01-01T00:00:00Z,20
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Club Atlético Osasuna,La Liga,1990-01-01T00:00:00Z,1993-01-01T00:00:00Z,130
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Spain national under-20 football team,,1990-01-01T00:00:00Z,1990-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Spain national under-21 association football team,,1991-01-01T00:00:00Z,1991-01-01T00:00:00Z,5
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Spain national under-23 football team,,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,4
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Athletic Club,La Liga,1993-01-01T00:00:00Z,2003-01-01T00:00:00Z,289
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Spain men's national football team,,1994-01-01T00:00:00Z,1994-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Basque Country regional football team,,1995-01-01T00:00:00Z,2000-01-01T00:00:00Z,4
http://www.wikidata.org/entity/Q1113283,Iñigo Larrainzar,Córdoba CF,LaLiga 2,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z,40
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,Real Sociedad,La Liga,,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,Real Sociedad B,LaLiga 2,2004-01-01T00:00:00Z,2006-01-01T00:00:00Z,55
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,Real Sociedad,La Liga,2005-01-01T00:00:00Z,2017-01-01T00:00:00Z,300
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,Basque Country regional football team,,2007-01-01T00:00:00Z,,7
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,Real Zaragoza,LaLiga 2,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,29
http://www.wikidata.org/entity/Q112998,Mikel González Martínez,AEK Larnaca F.C.,Cypriot First Division,2018-01-01T00:00:00Z,,113
http://www.wikidata.org/entity/Q113156,Robert Pires,Stade de Reims,Ligue 2,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,5
http://www.wikidata.org/entity/Q113156,Robert Pires,FC Metz,Ligue 1,1993-01-01T00:00:00Z,1998-01-01T00:00:00Z,162
http://www.wikidata.org/entity/Q113156,Robert Pires,France national under-20 association football team,,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,5
http://www.wikidata.org/entity/Q113156,Robert Pires,France national under-21 association football team,,1994-01-01T00:00:00Z,1996-01-01T00:00:00Z,22
http://www.wikidata.org/entity/Q113156,Robert Pires,France men's national association football team,,1996-01-01T00:00:00Z,2004-01-01T00:00:00Z,79
http://www.wikidata.org/entity/Q113156,Robert Pires,Olympique de Marseille,Ligue 1,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z,66
http://www.wikidata.org/entity/Q113156,Robert Pires,Arsenal F.C.,Premier League,2000-01-01T00:00:00Z,2006-01-01T00:00:00Z,284
http://www.wikidata.org/entity/Q113156,Robert Pires,Villarreal CF,La Liga,2006-01-01T00:00:00Z,2010-01-01T00:00:00Z,103
http://www.wikidata.org/entity/Q113156,Robert Pires,Aston Villa F.C.,Premier League,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,9
http://www.wikidata.org/entity/Q113156,Robert Pires,FC Goa,Indian Super League,2014-01-01T00:00:00Z,2016-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q113711,Thomas Cichon,1. FC Köln,Bundesliga,1995-01-01T00:00:00Z,2004-01-01T00:00:00Z,211
http://www.wikidata.org/entity/Q113711,Thomas Cichon,Germany national under-21 football team,,1995-01-01T00:00:00Z,1998-01-01T00:00:00Z,20
http://www.wikidata.org/entity/Q113711,Thomas Cichon,Rot-Weiß Oberhausen,Regionalliga West,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,30
http://www.wikidata.org/entity/Q113711,Thomas Cichon,Panionios F.C.,Super League Greece 2,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z,6
http://www.wikidata.org/entity/Q113711,Thomas Cichon,Panionios Smyrni S.C.,,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z,6
